Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1715744680,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2459.0090332,2459.0090332,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-1.0,972.9824219,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744681,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2459.5620117,2459.5620117,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.8000031,-1.0,972.157959,0.0,21.5,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
1715744682,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2460.109375,2460.109375,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-1.0,972.0710449,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744683,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2460.6628418,2460.6628418,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.6999969,-0.8,971.8974609,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744684,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2461.2163086,2461.2163086,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.9,971.0615234,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744685,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2461.7695312,2461.7695312,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.9,970.8227539,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744686,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2462.3227539,2462.3227539,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.6999969,-0.9,970.7902832,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744687,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2462.8762207,2462.8762207,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,970.7685547,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744688,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2463.4291992,2463.4291992,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.8,970.2148438,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744689,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2463.9824219,2463.9824219,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.8,970.0195313,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
